width,height,aspect_ratio_hw,mean_intensity,std_intensity,q25,median,q75,entropy,edge_density,hf_energy,dataset,path
718,500,0.6963788300835655,48.08526183844011,45.98960707411145,8.0,33.0,84.0,6.667026924934221,0.02425772046184419,145.19661974984217,TN5000,data_raw/TN5000_forReview/JPEGImages\000001.jpg
718,500,0.6963788300835655,54.270072423398325,49.615887215978894,12.0,45.0,82.0,6.962601125782718,0.03085948745468622,159.48565437901547,TN5000,data_raw/TN5000_forReview/JPEGImages\000002.jpg
718,500,0.6963788300835655,42.942128133704735,41.6399205035012,9.0,29.0,67.0,6.784624746548799,0.015766540053607912,90.67443215944014,TN5000,data_raw/TN5000_forReview/JPEGImages\000003.jpg
718,500,0.6963788300835655,43.45415598885794,41.26616065638146,12.0,24.0,68.0,6.726153291510205,0.019078603511066765,283.37233159989734,TN5000,data_raw/TN5000_forReview/JPEGImages\000004.jpg
718,500,0.6963788300835655,43.78523676880223,42.92617643434634,9.0,25.0,72.0,6.7392065694084495,0.01158523462545733,78.63464472187489,TN5000,data_raw/TN5000_forReview/JPEGImages\000005.jpg
718,500,0.6963788300835655,62.92363509749303,41.39336063781142,27.0,63.0,89.0,7.164622189213223,0.007666658281695889,51.73195005860562,TN5000,data_raw/TN5000_forReview/JPEGImages\000006.jpg
718,500,0.6963788300835655,92.22612256267409,42.36506391089707,68.0,94.0,118.0,7.369534592263185,0.006777851379187944,83.37266749412339,TN5000,data_raw/TN5000_forReview/JPEGImages\000007.jpg
718,500,0.6963788300835655,62.0205208913649,37.383623834269386,36.0,60.0,83.0,7.130427595076611,0.00795454227842016,88.49137769347682,TN5000,data_raw/TN5000_forReview/JPEGImages\000008.jpg
718,500,0.6963788300835655,67.36415598885795,41.79177976105871,36.0,64.0,94.0,7.299832147062691,0.005492155859836829,68.18163861818749,TN5000,data_raw/TN5000_forReview/JPEGImages\000009.jpg
818,628,0.7677261613691931,35.24564340554093,52.06488464262731,0.0,0.0,66.0,4.496074331879861,0.016550221665212323,253.2491769467423,TN5000,data_raw/TN5000_forReview/JPEGImages\000010.jpg
818,628,0.7677261613691931,36.58319382368056,55.09765700599065,0.0,0.0,69.0,4.514616848446549,0.014572706384856098,214.5268178079213,TN5000,data_raw/TN5000_forReview/JPEGImages\000011.jpg
718,500,0.6963788300835655,56.2801364902507,31.785748367984773,35.0,46.0,69.0,6.653599806195351,0.024159895802763127,109.90024626446045,TN5000,data_raw/TN5000_forReview/JPEGImages\000012.jpg
718,500,0.6963788300835655,66.9366573816156,42.688378109219656,37.0,58.0,91.0,7.144260330641252,0.041402190713365365,132.48899320322386,TN5000,data_raw/TN5000_forReview/JPEGImages\000013.jpg
718,500,0.6963788300835655,101.08039275766016,47.570300031453556,59.0,99.0,134.0,7.430506015426705,0.03036477417876199,121.10477571850039,TN5000,data_raw/TN5000_forReview/JPEGImages\000014.jpg
718,500,0.6963788300835655,91.32408356545962,50.92878522828394,43.0,83.0,127.0,7.31045835040659,0.029227213143162196,116.97881793749079,TN5000,data_raw/TN5000_forReview/JPEGImages\000015.jpg
718,500,0.6963788300835655,90.12650974930362,52.52193210297287,38.0,83.0,133.0,7.130080088095918,0.03268461609411291,125.85902042210866,TN5000,data_raw/TN5000_forReview/JPEGImages\000016.jpg
718,500,0.6963788300835655,71.05713370473538,47.10288783234494,32.0,60.0,99.0,7.139643671928492,0.026960476042740992,93.042978118785,TN5000,data_raw/TN5000_forReview/JPEGImages\000017.jpg
718,500,0.6963788300835655,51.52902506963788,36.86856522615202,29.0,39.0,62.0,6.7555366049935515,0.01929661275130456,93.17906638506582,TN5000,data_raw/TN5000_forReview/JPEGImages\000018.jpg
718,500,0.6963788300835655,53.13716991643454,37.95225718033842,29.0,38.0,65.0,6.636083856031574,0.017527383917067048,94.57085518436891,TN5000,data_raw/TN5000_forReview/JPEGImages\000019.jpg
498,429,0.8614457831325302,70.0180254818809,33.31740706844504,46.0,64.0,86.0,6.890714018022367,0.029273773482013578,176.3984661545002,TN5000,data_raw/TN5000_forReview/JPEGImages\000020.jpg
