Total False Positives: 65
Total False Negatives: 42

--- Top False Positives ---
ID: 0088_84.JPG | Prob: 0.9695 | Max TTA Disagreement: 0.3376
ID: 0086_100.jpg | Prob: 0.9609 | Max TTA Disagreement: 0.1962
ID: 0061_7.JPG | Prob: 0.9568 | Max TTA Disagreement: 0.9158
ID: 0000_31.JPG | Prob: 0.9567 | Max TTA Disagreement: 0.2344
ID: 0039_98.JPG | Prob: 0.9523 | Max TTA Disagreement: 0.3979
ID: 0081_12.JPG | Prob: 0.9509 | Max TTA Disagreement: 0.2327
ID: 0161_97.JPG | Prob: 0.9507 | Max TTA Disagreement: 0.3346
ID: 0004_57.JPG | Prob: 0.9502 | Max TTA Disagreement: 0.2175
ID: 0029_29.JPG | Prob: 0.9490 | Max TTA Disagreement: 0.3036
ID: 0043_66.JPG | Prob: 0.9464 | Max TTA Disagreement: 0.5370
ID: 0051_80.JPG | Prob: 0.9423 | Max TTA Disagreement: 0.5871
ID: 0053_58.JPG | Prob: 0.9412 | Max TTA Disagreement: 0.2561
ID: 0054_17.JPG | Prob: 0.9359 | Max TTA Disagreement: 0.4787
ID: 0082_120.JPG | Prob: 0.9344 | Max TTA Disagreement: 0.3549
ID: 0153_135.JPG | Prob: 0.9340 | Max TTA Disagreement: 0.2125
ID: 0055_89.JPG | Prob: 0.9331 | Max TTA Disagreement: 0.4582
ID: 0123_90.JPG | Prob: 0.9309 | Max TTA Disagreement: 1.2131
ID: 0068_111.JPG | Prob: 0.9304 | Max TTA Disagreement: 0.1287
ID: 0109_113.JPG | Prob: 0.9292 | Max TTA Disagreement: 0.7197
ID: 0034_144.JPG | Prob: 0.9285 | Max TTA Disagreement: 0.5096

--- Top False Negatives ---
ID: 0231_134.JPG | Prob: 0.0090 | Max TTA Disagreement: 0.3709
ID: 0342_48.JPG | Prob: 0.0119 | Max TTA Disagreement: 0.1347
ID: 0345_19.JPG | Prob: 0.0606 | Max TTA Disagreement: 0.4054
ID: 0293_214.JPG | Prob: 0.0715 | Max TTA Disagreement: 1.7936
ID: 0323_139.JPG | Prob: 0.0789 | Max TTA Disagreement: 0.8436
ID: 0379_205.JPG | Prob: 0.0826 | Max TTA Disagreement: 0.9268
ID: 0219_66.JPG | Prob: 0.0908 | Max TTA Disagreement: 0.9901
ID: 0359_177.JPG | Prob: 0.0953 | Max TTA Disagreement: 0.3238
ID: 0352_94.JPG | Prob: 0.1071 | Max TTA Disagreement: 2.2270
ID: 0224_129.JPG | Prob: 0.1239 | Max TTA Disagreement: 2.4177
ID: 0249_43.JPG | Prob: 0.1264 | Max TTA Disagreement: 1.5166
ID: 0252_111.JPG | Prob: 0.1277 | Max TTA Disagreement: 0.3929
ID: 0358_212.JPG | Prob: 0.1627 | Max TTA Disagreement: 2.0159
ID: 0243_7.JPG | Prob: 0.1773 | Max TTA Disagreement: 4.2592
ID: 0169_172.JPG | Prob: 0.1850 | Max TTA Disagreement: 0.8669
ID: 0319_18.JPG | Prob: 0.2185 | Max TTA Disagreement: 3.7793
ID: 0213_98.JPG | Prob: 0.2298 | Max TTA Disagreement: 1.8244
ID: 0230_99.JPG | Prob: 0.2613 | Max TTA Disagreement: 0.9427
ID: 0282_108.JPG | Prob: 0.2626 | Max TTA Disagreement: 0.5163
ID: 0205_163.JPG | Prob: 0.2751 | Max TTA Disagreement: 0.7633
