Total False Positives: 46
Total False Negatives: 249

--- Top False Positives ---
ID: 000048.jpg | Prob: 0.9767 | Max TTA Disagreement: 2.2511
ID: 000046.jpg | Prob: 0.8834 | Max TTA Disagreement: 1.0748
ID: 000445.jpg | Prob: 0.8756 | Max TTA Disagreement: 2.6103
ID: 004640.jpg | Prob: 0.8736 | Max TTA Disagreement: 2.0799
ID: 000083.jpg | Prob: 0.8680 | Max TTA Disagreement: 3.2568
ID: 002889.jpg | Prob: 0.8573 | Max TTA Disagreement: 1.6341
ID: 003474.jpg | Prob: 0.8434 | Max TTA Disagreement: 2.1660
ID: 000637.jpg | Prob: 0.8355 | Max TTA Disagreement: 0.6842
ID: 004660.jpg | Prob: 0.8344 | Max TTA Disagreement: 0.8204
ID: 000244.jpg | Prob: 0.8153 | Max TTA Disagreement: 2.7635
ID: 001819.jpg | Prob: 0.8149 | Max TTA Disagreement: 5.2855
ID: 000318.jpg | Prob: 0.8133 | Max TTA Disagreement: 0.4662
ID: 000652.jpg | Prob: 0.7898 | Max TTA Disagreement: 2.3183
ID: 000224.jpg | Prob: 0.7895 | Max TTA Disagreement: 3.0281
ID: 000634.jpg | Prob: 0.7816 | Max TTA Disagreement: 1.4052
ID: 000630.jpg | Prob: 0.7653 | Max TTA Disagreement: 2.6859
ID: 002931.jpg | Prob: 0.7598 | Max TTA Disagreement: 3.9298
ID: 000635.jpg | Prob: 0.7500 | Max TTA Disagreement: 0.4807
ID: 002883.jpg | Prob: 0.7490 | Max TTA Disagreement: 2.7665
ID: 000131.jpg | Prob: 0.7474 | Max TTA Disagreement: 0.9950

--- Top False Negatives ---
ID: 004413.jpg | Prob: 0.0240 | Max TTA Disagreement: 1.9023
ID: 002295.jpg | Prob: 0.0285 | Max TTA Disagreement: 3.1581
ID: 001337.jpg | Prob: 0.0399 | Max TTA Disagreement: 2.3249
ID: 002110.jpg | Prob: 0.0444 | Max TTA Disagreement: 2.3228
ID: 000735.jpg | Prob: 0.0605 | Max TTA Disagreement: 1.9248
ID: 001094.jpg | Prob: 0.0631 | Max TTA Disagreement: 2.6859
ID: 004549.jpg | Prob: 0.0947 | Max TTA Disagreement: 1.7420
ID: 000988.jpg | Prob: 0.1061 | Max TTA Disagreement: 2.5266
ID: 002799.jpg | Prob: 0.1146 | Max TTA Disagreement: 1.7389
ID: 001408.jpg | Prob: 0.1171 | Max TTA Disagreement: 0.8289
ID: 002604.jpg | Prob: 0.1202 | Max TTA Disagreement: 0.8659
ID: 001481.jpg | Prob: 0.1254 | Max TTA Disagreement: 0.2974
ID: 004570.jpg | Prob: 0.1388 | Max TTA Disagreement: 1.4271
ID: 003862.jpg | Prob: 0.1408 | Max TTA Disagreement: 1.3251
ID: 001705.jpg | Prob: 0.1434 | Max TTA Disagreement: 2.1241
ID: 000115.jpg | Prob: 0.1530 | Max TTA Disagreement: 2.7327
ID: 002272.jpg | Prob: 0.1544 | Max TTA Disagreement: 0.8805
ID: 004808.jpg | Prob: 0.1557 | Max TTA Disagreement: 1.5698
ID: 002637.jpg | Prob: 0.1606 | Max TTA Disagreement: 2.6404
ID: 004227.jpg | Prob: 0.1746 | Max TTA Disagreement: 0.6933
